road_id,road_name,area,zone,ward,latitude,longitude,road_type,pavement_type,length_km,road_age_years,years_since_last_repair,potholes_per_km,avg_pothole_severity_1_5,crack_percent,surface_distress_index,roughness_iri,drainage_score_0_100,waterlogging_days_per_year,traffic_pcu_per_day,heavy_vehicle_percent,bus_route,near_school_hospital,accident_count_3y,complaints_90d,flood_vulnerability_0_100,civic_importance_0_100,priority_score,priority_label,recommended_action,estimated_cost_cr,recommendation_reason,future_score_12m,future_label_12m,optimization_benefit,condition_score,usage_score,safety_score,drainage_score,civic_score
CHN-RD-036,Anna Nagar High Road,Anna Nagar,8,101,13.075453,80.211452,interior,bituminous,2.67,13,10,9,2.8,49.1,56.6,5.1,29.0,22.0,8586,12.3,0,0,2,30,81.4,58.0,41.28,Medium,resurfacing,1.6,surface deterioration is beyond minor patching,48.7,Medium,100.1,52.27,13.77,28.88,74.94,43.5
CHN-RD-073,T Nagar 1st Street,T Nagar,10,137,13.025393,80.231903,collector,bituminous,5.81,14,8,11,2.4,47.9,55.4,5.3,81.0,4.0,16525,7.4,0,1,0,30,9.9,96.0,40.31,Medium,resurfacing,3.49,surface deterioration is beyond minor patching,45.31,Medium,207.69,50.6,19.67,25.05,14.29,97.0
CHN-RD-016,Adyar Canal Bank Road,Adyar,13,173,13.021729,80.243969,bus_route,bituminous,1.65,8,7,6,1.2,17.8,39.7,5.1,55.0,3.0,47846,27.3,1,0,2,22,25.1,86.0,38.63,Low,pothole patching,0.3,localized pothole damage can be repaired quickly,44.06,Medium,35.46,27.15,67.19,26.02,26.78,64.5
CHN-RD-008,Velachery Canal Bank Road,Velachery,13,178,12.983463,80.208273,interior,bituminous,3.54,15,8,11,3.9,41.5,58.5,6.9,58.0,3.0,4104,8.2,0,0,4,15,32.5,56.0,38.55,Low,pothole patching,0.64,localized pothole damage can be repaired quickly,43.08,Medium,75.76,57.18,9.39,34.02,27.95,42.0
CHN-RD-032,Kodambakkam 2nd Avenue,Kodambakkam,10,132,13.047894,80.212741,interior,bituminous,2.83,16,8,14,3.7,34.5,53.9,6.1,95.0,4.0,3088,7.2,0,0,3,35,1.6,61.0,37.4,Low,pothole patching,0.51,localized pothole damage can be repaired quickly,42.07,Medium,57.0,58.03,8.37,36.25,6.9,45.75
CHN-RD-024,Kodambakkam High Road,Kodambakkam,10,131,13.048825,80.210167,bus_route,bituminous,3.28,12,2,3,2.7,19.7,55.8,6.2,30.0,6.0,26295,18.8,0,1,2,8,45.6,95.0,37.05,Low,preventive maintenance,0.39,"road is not critical yet, but early treatment prevents decline",42.09,Medium,49.53,28.62,32.61,24.69,45.18,96.25
CHN-RD-026,Thiruvanmiyur Station Road,Thiruvanmiyur,13,180,12.978447,80.25759,bus_route,bituminous,3.23,10,7,5,3.3,31.9,34.0,2.8,64.0,3.0,35337,21.3,1,0,4,9,25.7,56.0,37.03,Low,preventive maintenance,0.39,"road is not critical yet, but early treatment prevents decline",42.29,Medium,48.72,38.46,57.14,18.21,23.81,42.0
CHN-RD-068,Royapuram 1st Street,Royapuram,5,48,13.107605,80.30372,bus_route,bituminous,7.12,6,3,5,1.8,18.0,29.7,3.6,76.0,4.0,44017,14.1,1,0,11,6,26.6,84.0,36.67,Low,preventive maintenance,0.85,"road is not critical yet, but early treatment prevents decline",41.98,Medium,105.32,23.1,59.57,35.56,21.05,63.0
CHN-RD-066,Guindy 1st Street,Guindy,13,169,13.022006,80.207461,arterial,bituminous,4.43,16,5,4,1.2,47.4,64.4,2.8,64.0,8.0,37987,16.8,1,0,5,12,31.7,52.0,36.63,Low,resurfacing,2.66,surface deterioration is beyond minor patching,42.59,Medium,130.77,33.21,59.96,21.54,31.44,39.0
CHN-RD-074,T Nagar Market Road,T Nagar,10,137,13.038788,80.221472,interior,bituminous,1.16,11,9,9,2.6,39.0,77.1,6.6,66.0,8.0,12296,3.5,0,0,1,8,38.6,68.0,36.23,Low,pothole patching,0.21,localized pothole damage can be repaired quickly,41.68,Medium,21.93,51.48,12.52,23.77,32.81,51.0
CHN-RD-041,Velachery Link Road,Velachery,13,178,12.974959,80.233202,bus_route,bituminous,2.01,14,1,6,1.9,28.5,34.5,6.0,82.0,8.0,21930,24.5,1,0,0,25,20.3,93.0,34.78,Low,pothole patching,0.36,localized pothole damage can be repaired quickly,39.87,Low,35.01,26.18,50.22,25.6,21.72,69.75
CHN-RD-091,Mylapore School Road,Mylapore,9,122,13.038081,80.279955,interior,cement_concrete,2.97,15,8,6,1.6,62.7,47.4,6.0,60.0,3.0,6080,1.0,0,0,5,15,31.8,95.0,34.65,Low,resurfacing,1.78,surface deterioration is beyond minor patching,38.8,Low,78.45,41.57,7.72,33.27,27.04,71.25
CHN-RD-056,Royapuram 2nd Avenue,Royapuram,5,48,13.130279,80.278333,bus_route,bituminous,5.58,1,0,3,2.8,11.1,34.1,3.5,19.0,29.0,20280,11.7,0,1,0,16,92.1,87.0,34.63,Low,drainage repair,1.95,waterlogging is likely accelerating road failure,42.66,Medium,127.14,21.49,26.09,14.05,89.81,90.25
CHN-RD-014,Velachery High Road,Velachery,13,178,12.990002,80.220956,bus_route,bituminous,5.08,12,5,7,1.7,39.3,68.9,4.9,89.0,3.0,25578,12.5,1,0,0,16,9.8,62.0,34.49,Low,pothole patching,0.91,localized pothole damage can be repaired quickly,39.36,Low,87.02,38.86,47.65,18.71,10.29,46.5
CHN-RD-048,Anna Nagar Canal Bank Road,Anna Nagar,8,102,13.067656,80.203219,interior,paver_block,1.68,9,9,7,1.0,40.4,47.6,4.7,60.0,5.0,4963,5.9,0,1,4,21,32.7,92.0,34.32,Low,pothole patching,0.3,localized pothole damage can be repaired quickly,38.55,Low,28.49,35.98,9.0,28.83,29.64,94.0
CHN-RD-037,Mylapore Station Road,Mylapore,9,122,13.03976,80.274801,bus_route,bituminous,4.01,5,3,7,1.7,19.3,9.7,4.7,78.0,4.0,50069,25.4,0,1,7,1,16.2,72.0,34.19,Low,pothole patching,0.72,localized pothole damage can be repaired quickly,39.72,Low,67.5,22.29,49.79,28.44,17.23,79.0
CHN-RD-046,Anna Nagar Canal Bank Road,Anna Nagar,8,102,13.083658,80.212055,interior,cement_concrete,2.05,15,10,8,2.6,39.6,61.2,6.5,87.0,7.0,11748,14.0,0,0,4,27,14.9,31.0,34.12,Low,pothole patching,0.37,localized pothole damage can be repaired quickly,39.31,Low,34.37,48.51,16.39,36.98,17.19,23.25
CHN-RD-054,Nungambakkam School Road,Nungambakkam,9,110,13.065659,80.256707,interior,bituminous,0.82,15,0,5,2.7,30.4,27.4,5.8,30.0,6.0,7307,7.8,0,1,6,16,52.6,88.0,33.91,Low,preventive maintenance,0.1,"road is not critical yet, but early treatment prevents decline",38.12,Low,10.37,27.0,11.19,35.21,47.28,91.0
CHN-RD-061,Perambur Market Road,Perambur,6,69,13.130472,80.232538,interior,bituminous,1.45,12,6,6,3.2,31.9,51.9,5.9,24.0,12.0,4642,19.3,0,0,0,7,67.4,61.0,33.82,Low,pothole patching,0.26,localized pothole damage can be repaired quickly,39.25,Low,23.88,41.4,14.16,18.83,60.82,45.75
CHN-RD-047,T Nagar Market Road,T Nagar,10,137,13.045324,80.244512,interior,bituminous,2.6,11,9,10,2.2,31.1,51.5,5.2,83.0,5.0,10292,15.3,0,0,3,20,24.0,69.0,33.76,Low,pothole patching,0.47,localized pothole damage can be repaired quickly,38.48,Low,42.67,44.75,16.02,27.89,18.98,51.75
CHN-RD-045,Perambur 2nd Avenue,Perambur,6,69,13.109246,80.220103,interior,bituminous,1.6,14,1,7,1.9,21.0,46.7,4.4,35.0,14.0,6486,13.4,0,1,4,28,61.8,74.0,33.65,Low,pothole patching,0.29,localized pothole damage can be repaired quickly,39.06,Low,26.09,27.96,12.93,30.33,57.62,80.5
CHN-RD-083,Nungambakkam Link Road,Nungambakkam,9,110,13.039144,80.238745,collector,cement_concrete,7.37,17,2,7,1.8,28.1,38.4,5.5,85.0,4.0,21475,19.2,0,1,1,26,14.6,98.0,33.53,Low,pothole patching,1.33,localized pothole damage can be repaired quickly,38.07,Low,119.32,28.65,27.42,26.54,14.3,98.5
CHN-RD-015,Mylapore 2nd Avenue,Mylapore,9,124,13.039799,80.273993,interior,bituminous,0.79,14,10,9,3.4,39.4,60.4,4.2,75.0,0.0,8711,1.7,0,0,4,21,20.2,41.0,33.4,Low,pothole patching,0.14,localized pothole damage can be repaired quickly,37.57,Low,12.69,53.73,9.61,27.17,14.81,30.75
CHN-RD-023,Adyar Link Road,Adyar,13,173,12.99649,80.257031,bus_route,bituminous,6.26,3,2,1,2.1,16.5,13.5,4.3,76.0,5.0,33945,14.1,1,1,4,3,24.7,99.0,32.95,Low,preventive maintenance,0.75,"road is not critical yet, but early treatment prevents decline",37.74,Low,74.76,14.91,53.41,21.07,21.64,99.25
CHN-RD-031,Mylapore School Road,Mylapore,9,124,13.018791,80.263528,bus_route,bituminous,3.82,5,3,6,2.9,10.8,20.5,3.4,64.0,1.0,50918,10.6,0,0,7,17,28.9,63.0,32.54,Low,pothole patching,0.69,localized pothole damage can be repaired quickly,37.79,Low,58.25,26.81,44.39,29.82,22.44,47.25
CHN-RD-051,Kodambakkam Link Road,Kodambakkam,10,133,13.051288,80.229653,interior,cement_concrete,3.62,8,7,8,2.0,51.8,43.4,5.0,61.0,5.0,8227,12.6,0,0,0,21,26.0,80.0,32.52,Low,resurfacing,2.17,surface deterioration is beyond minor patching,37.08,Low,84.22,42.23,13.67,20.83,27.28,60.0
CHN-RD-006,Velachery Main Road,Velachery,13,176,12.960026,80.203831,interior,bituminous,2.25,9,8,7,2.3,19.9,43.0,3.9,88.0,3.0,12438,3.7,0,1,3,18,12.3,95.0,32.31,Low,pothole patching,0.4,localized pothole damage can be repaired quickly,36.55,Low,33.82,36.09,12.69,22.85,11.39,96.25
CHN-RD-013,Tambaram Canal Bank Road,Tambaram,15,199,12.940713,80.086152,arterial,paver_block,3.1,4,3,2,2.2,29.7,37.4,3.1,67.0,7.0,43079,14.1,0,0,4,17,27.0,85.0,32.31,Low,preventive maintenance,0.37,"road is not critical yet, but early treatment prevents decline",38.08,Low,35.6,24.84,43.99,22.07,27.82,63.75
CHN-RD-005,Nungambakkam High Road,Nungambakkam,9,111,13.056396,80.226992,arterial,bituminous,2.57,4,2,0,3.2,11.6,28.1,3.4,75.0,2.0,40016,15.1,1,1,2,0,21.9,70.0,32.27,Low,preventive maintenance,0.31,"road is not critical yet, but early treatment prevents decline",37.03,Low,29.44,20.39,60.52,12.5,17.65,77.5
CHN-RD-010,Tambaram 2nd Avenue,Tambaram,15,200,12.910629,80.113613,interior,bituminous,1.93,3,0,5,1.0,20.0,34.6,3.7,24.0,13.0,10008,14.2,0,1,6,16,70.4,100.0,31.96,Low,preventive maintenance,0.23,"road is not critical yet, but early treatment prevents decline",37.04,Low,21.69,17.38,15.4,28.21,62.89,100.0
CHN-RD-095,Thiruvanmiyur Link Road,Thiruvanmiyur,13,179,12.980143,80.25077,interior,bituminous,2.14,15,0,9,3.5,27.7,42.0,4.0,75.0,7.0,2632,4.6,0,1,4,15,30.9,65.0,31.66,Low,pothole patching,0.39,localized pothole damage can be repaired quickly,36.17,Low,30.89,38.47,7.05,24.36,26.19,73.75
CHN-RD-096,Tambaram Canal Bank Road,Tambaram,15,198,12.933822,80.09264,bus_route,bituminous,6.88,5,0,3,2.0,24.9,26.2,4.8,93.0,2.0,41038,14.9,1,0,9,19,13.1,46.0,31.58,Low,preventive maintenance,0.83,"road is not critical yet, but early treatment prevents decline",36.35,Low,75.48,19.26,58.07,39.7,8.71,34.5
CHN-RD-043,Perambur Main Road,Perambur,6,69,13.110359,80.248632,bus_route,bituminous,6.03,2,2,2,1.7,17.3,18.5,3.2,62.0,7.0,47039,16.1,1,0,7,0,24.8,70.0,31.34,Low,preventive maintenance,0.72,"road is not critical yet, but early treatment prevents decline",36.99,Low,65.15,15.34,62.22,23.08,28.91,52.5
CHN-RD-065,Perambur 1st Street,Perambur,6,69,13.113044,80.225346,collector,cement_concrete,5.92,2,2,3,1.0,20.8,46.3,3.6,32.0,26.0,25996,14.9,0,0,4,23,81.3,53.0,30.2,Low,drainage repair,2.07,waterlogging is likely accelerating road failure,37.93,Low,102.59,18.75,28.46,25.88,78.52,39.75
CHN-RD-079,Royapuram School Road,Royapuram,5,50,13.112836,80.300323,interior,bituminous,0.97,4,4,4,3.3,26.4,26.4,4.7,91.0,5.0,4939,8.4,0,1,5,8,6.2,89.0,30.15,Low,preventive maintenance,0.12,"road is not critical yet, but early treatment prevents decline",34.25,Low,9.7,31.53,9.98,26.44,10.84,91.75
CHN-RD-052,T Nagar Market Road,T Nagar,10,135,13.044344,80.222843,interior,bituminous,2.24,17,6,6,1.4,42.2,54.4,6.1,43.0,12.0,4321,1.0,0,0,2,15,54.0,57.0,30.05,Low,pothole patching,0.4,localized pothole damage can be repaired quickly,35.28,Low,29.13,35.14,6.64,26.86,50.15,42.75
CHN-RD-087,Nungambakkam Market Road,Nungambakkam,9,111,13.054249,80.241134,interior,cement_concrete,1.92,7,7,6,4.1,31.8,46.3,4.2,76.0,7.0,8206,2.6,0,0,0,26,20.3,42.0,29.71,Low,pothole patching,0.35,localized pothole damage can be repaired quickly,34.68,Low,24.4,45.93,9.66,19.95,22.66,31.5
CHN-RD-028,Thiruvanmiyur Station Road,Thiruvanmiyur,13,180,12.983413,80.244958,interior,bituminous,2.66,6,2,6,2.2,19.3,33.8,4.4,80.0,8.0,9244,15.4,0,1,0,30,23.2,88.0,29.52,Low,pothole patching,0.48,localized pothole damage can be repaired quickly,34.1,Low,33.38,26.49,15.42,22.05,23.29,91.0
CHN-RD-064,Nungambakkam Market Road,Nungambakkam,9,110,13.044352,80.249358,bus_route,bituminous,3.49,4,3,3,1.2,6.1,37.5,5.0,94.0,3.0,19746,18.9,1,1,0,10,9.3,93.0,29.4,Low,preventive maintenance,0.42,"road is not critical yet, but early treatment prevents decline",33.34,Low,33.18,15.95,46.64,16.9,8.39,94.75
CHN-RD-055,Velachery School Road,Velachery,13,177,12.980621,80.231193,interior,bituminous,3.54,17,4,6,2.9,28.0,63.9,6.1,74.0,2.0,3853,1.0,0,0,3,17,16.7,65.0,29.38,Low,pothole patching,0.64,localized pothole damage can be repaired quickly,33.21,Low,44.0,39.06,6.36,29.82,16.44,48.75
CHN-RD-049,Mylapore 1st Street,Mylapore,9,123,13.037881,80.278786,collector,cement_concrete,2.86,5,1,6,1.1,18.0,31.0,2.9,79.0,8.0,18692,20.1,0,1,4,15,30.8,88.0,28.73,Low,pothole patching,0.51,localized pothole damage can be repaired quickly,33.48,Low,33.99,19.22,26.08,20.69,25.92,91.0
CHN-RD-022,Kodambakkam 1st Street,Kodambakkam,10,131,13.043089,80.222131,arterial,bituminous,5.05,11,3,5,1.2,32.1,36.9,5.7,77.0,6.0,45981,19.6,0,0,2,21,18.7,21.0,28.57,Low,preventive maintenance,0.61,"road is not critical yet, but early treatment prevents decline",34.3,Low,45.34,24.5,47.97,27.67,20.66,15.75
CHN-RD-075,Kodambakkam 1st Street,Kodambakkam,10,133,13.060475,80.227619,interior,bituminous,1.39,5,3,5,2.6,23.7,19.8,1.6,78.0,6.0,3444,16.1,0,1,4,16,24.5,97.0,28.43,Low,preventive maintenance,0.17,"road is not critical yet, but early treatment prevents decline",32.47,Low,12.36,26.7,12.15,16.71,22.05,97.75
CHN-RD-060,Velachery Main Road,Velachery,13,176,12.973426,80.220133,interior,bituminous,3.46,11,9,6,1.6,20.1,40.4,6.3,86.0,4.0,3174,13.8,0,1,0,12,10.0,71.0,28.4,Low,pothole patching,0.62,localized pothole damage can be repaired quickly,32.28,Low,40.19,31.79,11.06,21.95,12.57,78.25
CHN-RD-093,Anna Nagar Market Road,Anna Nagar,8,103,13.087806,80.212481,interior,bituminous,2.75,12,7,7,2.0,20.0,44.3,4.1,59.0,1.0,10496,9.7,0,0,0,26,24.1,61.0,27.09,Low,pothole patching,0.49,localized pothole damage can be repaired quickly,30.89,Low,29.06,33.83,13.9,19.62,22.75,45.75
CHN-RD-020,Adyar 2nd Avenue,Adyar,13,175,13.013085,80.274094,bus_route,bituminous,6.03,8,3,3,1.0,17.6,30.4,2.0,65.0,1.0,33633,5.8,1,1,0,5,15.5,66.0,26.79,Low,preventive maintenance,0.72,"road is not critical yet, but early treatment prevents decline",31.01,Low,47.61,16.33,49.9,5.12,18.07,74.5
CHN-RD-100,Velachery Market Road,Velachery,13,177,12.987336,80.223275,interior,bituminous,0.71,4,1,1,1.0,32.3,45.0,6.6,16.0,20.0,10836,1.0,0,0,0,13,75.3,73.0,26.72,Low,drainage repair,0.25,waterlogging is likely accelerating road failure,32.89,Low,9.63,17.32,10.63,23.31,75.32,54.75
CHN-RD-080,Anna Nagar High Road,Anna Nagar,8,102,13.072848,80.200757,interior,cement_concrete,3.06,4,4,4,1.6,36.9,31.1,3.0,89.0,7.0,3197,6.6,0,1,1,17,24.6,95.0,26.68,Low,preventive maintenance,0.37,"road is not critical yet, but early treatment prevents decline",30.85,Low,23.96,26.19,8.2,14.99,19.4,96.25
CHN-RD-081,Tambaram School Road,Tambaram,15,198,12.934698,80.092634,bus_route,bituminous,5.94,3,2,1,1.5,8.1,6.5,1.6,75.0,5.0,46645,22.7,1,0,3,12,19.4,68.0,26.2,Low,preventive maintenance,0.71,"road is not critical yet, but early treatment prevents decline",31.34,Low,44.85,8.83,64.62,13.04,20.4,51.0
CHN-RD-069,Nungambakkam Main Road,Nungambakkam,9,110,13.062433,80.24944,interior,bituminous,3.08,7,2,4,2.1,14.5,40.1,4.7,70.0,6.0,12509,13.9,0,0,2,7,23.4,94.0,26.0,Low,preventive maintenance,0.37,"road is not critical yet, but early treatment prevents decline",30.31,Low,22.9,23.18,16.81,19.33,24.52,70.5
